"","Municipio","Mesa","Cargo","Lista","Votos","VE","Year","Circuito"
"41049","GENERAL PIZARRO",3515,"GOBERNADOR","CONCERTACION SALTENA",0,"0",2007,"22E"
"41050","GENERAL PIZARRO",3515,"SENADOR","CONCERTACION SALTENA",0,"0",2007,"22E"
"41060","GENERAL PIZARRO",3515,"GOBERNADOR","VOTOS EN BLANCO",13,"0",2007,"22E"
"41061","GENERAL PIZARRO",3515,"SENADOR","VOTOS EN BLANCO",5,"0",2007,"22E"
"41094","RIVADAVIA BANDA NORTE",1526,"GOBERNADOR","PJ - FRE.JU.VI.",74,"0",2007,"28E"
"41095","RIVADAVIA BANDA NORTE",1526,"SENADOR","PJ - FRE.JU.VI.",75,"0",2007,"28E"
"41103","RIVADAVIA BANDA NORTE",1526,"GOBERNADOR","PARTIDO HUMANISTA",1,"0",2007,"28E"
"41110","RIVADAVIA BANDA NORTE",1526,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"0",2007,"28E"
"41111","RIVADAVIA BANDA NORTE",1526,"SENADOR","FRENTE GRANDE",80,"0",2007,"28E"
"41136","RIVADAVIA BANDA NORTE",1526,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"0",2007,"28E"
"41138","RIVADAVIA BANDA NORTE",1526,"GOBERNADOR","PARTIDO DEL OBRERO",1,"0",2007,"28E"
"41140","RIVADAVIA BANDA NORTE",1526,"GOBERNADOR","PARTIDO NUEVA GENERACION",0,"0",2007,"28E"
"41143","RIVADAVIA BANDA NORTE",1526,"GOBERNADOR","PROPUESTA SALTENA",1,"0",2007,"28E"
"41148","RIVADAVIA BANDA NORTE",1526,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",90,"0",2007,"28E"
"41149","RIVADAVIA BANDA NORTE",1526,"SENADOR","F.PARA LA VICTORIA-P.RENOVADOR",11,"0",2007,"28E"
"41152","RIVADAVIA BANDA NORTE",1526,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",0,"0",2007,"28E"
"41153","RIVADAVIA BANDA NORTE",1526,"GOBERNADOR","CONCERTACION SALTENA",0,"0",2007,"28E"
